time,cell id
43190.9000002701,420
43396.40000028206,140
43602.90000029408,300
43603.40000029411,320
43660.80000029745,180
43710.700000300356,240
43726.500000301276,60
43980.00000031603,40
43989.20000031657,20
44018.50000031827,160
44204.5000003291,460
44574.60000035064,260
44744.20000036051,0
45581.60000040926,40
45603.60000041054,140
45753.200000419245,20
45955.30000043101,340
46138.60000044168,220
46211.30000044591,60
46233.60000044721,300
46260.000000448745,100
46553.70000046584,80
46616.70000046951,160
46646.50000047124,180
47065.50000049563,120
47309.30000050982,0
47667.70000053068,60
47671.90000053093,40
47731.300000534386,200
47756.900000535876,100
47855.500000541615,260
47940.00000054653,140
48033.60000055198,80
48144.70000055845,160
48715.60000059168,380
49038.20000061046,0
49274.900000624235,120
49465.80000063535,300
49567.00000064124,100
49661.30000064673,200
49735.60000065105,60
49821.900000656075,140
49924.70000066206,20
49958.60000066403,240
50161.900000675865,220
50387.40000068899,280
50425.4000006912,180
50567.30000069946,420
50621.100000702594,360
50966.80000072272,80
51005.00000072494,40
51091.60000072998,260
51335.100000744154,160
51388.10000074724,140
51403.300000748124,0
51537.60000075594,400
51592.20000075912,100
51640.80000076195,20
51665.7000007634,340
51876.40000077566,120
52217.2000007955,220
52346.70000080304,40
52617.20000081878,180
52775.600000828,240
52888.30000083456,320
53248.50000085553,380
53250.000000855616,160
53616.600000876955,20
53735.00000088385,120
53868.2000008916,0
53981.40000089819,200
54215.80000091183,140
54659.00000093763,40
54763.200000943696,360
54770.00000094409,60
54953.900000954796,0
55006.40000095785,280
55029.6000009592,180
55106.800000963696,240
55271.40000097328,80
55352.40000097799,120
55513.00000098734,100
55569.50000099063,260
55819.10000100516,140
55996.8000010155,60
56236.200001029436,220
56419.300001040094,0
56471.30000104312,200
56508.7000010453,300
56807.30000106268,440
56868.400001066235,100
57176.20000108415,80
57548.400001105816,340
58055.10000113531,40
58335.30000115162,20
58396.8000011552,0
58462.100001159,180
58466.800001159274,80
58512.20000116192,140
58553.60000116433,60
58566.9000011651,220
58673.90000117133,120
58752.000001175875,360
59037.6000011925,100
59158.00000119951,160
59493.40000121903,40
59798.7000012368,0
